locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	0	705	+	null	Transposase DDE domain-containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	1072	1918	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	2718	3729	+	null	nitronate monooxygenase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	4599	5139	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	5294	5576	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	6080	6458	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	6665	8261	+	null	Site-specific DNA recombinase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	8257	8575	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	8571	9186	+	null	RepB plasmid partitioning protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	9486	10146	+	null	nitrile hydratase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	10142	10814	+	null	nitrile hydratase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	10815	11184	+	null	nitrile hydratase accessory protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	11768	13196	-	null	Cytochrome P450	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	13252	14596	-	null	FAD/FMN-containing dehydrogenases	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	15487	15649	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	15932	18224	+	null	beta-glucosidase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	18367	19171	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	19258	19903	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	20573	21485	-	null	transcriptional regulator, LysR family	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	21650	22349	+	null	Glutathione S-transferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	22547	22817	+	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	23203	23734	+	null	Transposase IS66 family protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	24063	24765	-	null	Glutathione S-transferase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	25676	26003	+	null	protein of unknown function (DUF4148)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	26230	27703	-	null	fumarase, class II	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	27717	29337	-	null	malate dehydrogenase (oxaloacetate- decarboxylating)(NADP+)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	30656	32036	+	null	succinate semialdehyde dehydrogenase (EC 1.2.1.16)	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	32083	32965	+	null	3-hydroxyisobutyrate dehydrogenase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	32997	33168	-	null	hypothetical protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	33658	34030	+	null	Transposase and inactivated derivatives	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	34086	34431	+	null	Transposase C of IS166 homeodomain-containing protein	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	34494	34920	+	null	Transposase	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	35025	35640	+	null	IS66 C-terminal element	null	null
ASM38327v1_1	null	1	H281DRAFT_scaffold00001.1	36316	36478	-	null	hypothetical protein	null	null
